onset	duration	staging
0	0	3
30	0	3
60	0	4
90	0	4
120	0	4
150	0	4
180	0	4
210	0	4
240	0	4
270	0	4
300	0	4
330	0	4
360	0	4
390	0	4
420	0	4
450	0	4
480	0	4
510	0	4
540	0	4
570	0	4
600	0	5
630	0	5
660	0	5
690	0	5
720	0	5
750	0	4
780	0	5
810	0	5
840	0	5
870	0	5
900	0	5
930	0	5
960	0	5
990	0	5
1020	0	5
1050	0	5
1080	0	5
1110	0	5
1140	0	5
1170	0	4
1200	0	4
1230	0	4
1260	0	3
1290	0	3
1320	0	4
1350	0	4
1380	0	4
1410	0	4
1440	0	4
1470	0	4
1500	0	4
1530	0	5
1560	0	5
1590	0	5
1620	0	5
1650	0	5
1680	0	5
1710	0	5
1740	0	5
1770	0	5
1800	0	5
1830	0	5
1860	0	5
1890	0	5
1920	0	5
1950	0	5
1980	0	5
2010	0	5
2040	0	5
2070	0	5
2100	0	5
2130	0	5
2160	0	5
2190	0	5
2220	0	5
2250	0	5
2280	0	5
2310	0	5
2340	0	5
2370	0	5
2400	0	5
2430	0	5
2460	0	5
2490	0	5
2520	0	5
2550	0	5
2580	0	5
2610	0	5
2640	0	4
2670	0	4
2700	0	1
2730	0	3
2760	0	4
2790	0	4
2820	0	4
2850	0	4
2880	0	4
2910	0	4
2940	0	4
2970	0	4
3000	0	4
3030	0	4
3060	0	4
3090	0	4
3120	0	4
3150	0	4
3180	0	4
3210	0	4
3240	0	4
3270	0	5
3300	0	5
3330	0	4
3360	0	4
3390	0	4
3420	0	4
3450	0	4
3480	0	5
3510	0	5
3540	0	5
3570	0	4
3600	0	4
3630	0	4
3660	0	4
3690	0	4
3720	0	4
3750	0	4
3780	0	4
3810	0	4
3840	0	3
3870	0	4
3900	0	3
3930	0	2
3960	0	4
3990	0	2
4020	0	4
4050	0	4
4080	0	4
4110	0	4
4140	0	1
4170	0	1
4200	0	4
4230	0	4
4260	0	4
4290	0	4
4320	0	4
4350	0	4
4380	0	4
4410	0	4
4440	0	4
4470	0	4
4500	0	4
4530	0	3
4560	0	4
4590	0	4
4620	0	4
4650	0	4
4680	0	4
4710	0	4
4740	0	4
4770	0	4
4800	0	4
4830	0	4
4860	0	4
4890	0	4
4920	0	4
4950	0	4
4980	0	5
5010	0	5
5040	0	5
5070	0	5
5100	0	5
5130	0	5
5160	0	5
5190	0	5
5220	0	5
5250	0	5
5280	0	5
5310	0	5
5340	0	5
5370	0	5
5400	0	5
5430	0	5
5460	0	5
5490	0	5
5520	0	5
5550	0	5
5580	0	5
5610	0	5
5640	0	5
5670	0	5
5700	0	5
5730	0	5
5760	0	5
5790	0	5
5820	0	5
5850	0	5
5880	0	5
5910	0	4
5940	0	4
5970	0	5
6000	0	4
6030	0	4
6060	0	4
6090	0	4
6120	0	4
6150	0	4
6180	0	4
6210	0	5
6240	0	5
6270	0	5
6300	0	5
6330	0	1
6360	0	3
6390	0	4
6420	0	4
6450	0	4
6480	0	4
6510	0	4
6540	0	4
6570	0	4
6600	0	4
6630	0	4
6660	0	4
6690	0	4
6720	0	4
6750	0	4
6780	0	4
6810	0	4
6840	0	4
6870	0	5
6900	0	4
6930	0	4
6960	0	4
6990	0	4
7020	0	4
7050	0	4
7080	0	4
7110	0	4
7140	0	4
7170	0	4
7200	0	5
7230	0	5
7260	0	5
7290	0	5
7320	0	5
7350	0	5
7380	0	5
7410	0	5
7440	0	5
7470	0	5
7500	0	4
7530	0	4
7560	0	4
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	4
7800	0	4
7830	0	4
7860	0	5
7890	0	4
7920	0	4
7950	0	4
7980	0	4
8010	0	4
8040	0	4
8070	0	4
8100	0	5
8130	0	5
8160	0	5
8190	0	5
8220	0	5
8250	0	5
8280	0	5
8310	0	5
8340	0	5
8370	0	5
8400	0	5
8430	0	5
8460	0	5
8490	0	5
8520	0	5
8550	0	5
8580	0	5
8610	0	5
8640	0	5
8670	0	5
8700	0	5
8730	0	5
8760	0	5
8790	0	5
8820	0	5
8850	0	5
8880	0	5
8910	0	5
8940	0	5
8970	0	5
9000	0	5
9030	0	5
9060	0	5
9090	0	5
9120	0	5
9150	0	5
9180	0	5
9210	0	5
9240	0	5
9270	0	5
9300	0	5
9330	0	5
9360	0	5
9390	0	5
9420	0	5
9450	0	5
9480	0	5
9510	0	5
9540	0	5
9570	0	5
9600	0	5
9630	0	5
9660	0	5
9690	0	5
9720	0	5
9750	0	5
9780	0	5
9810	0	4
9840	0	5
9870	0	5
9900	0	4
9930	0	5
9960	0	4
9990	0	4
10020	0	5
10050	0	5
10080	0	5
10110	0	4
10140	0	2
10170	0	2
10200	0	2
10230	0	2
10260	0	2
10290	0	2
10320	0	4
10350	0	4
10380	0	2
10410	0	4
10440	0	4
10470	0	4
10500	0	2
10530	0	2
10560	0	2
10590	0	2
10620	0	2
10650	0	2
10680	0	2
10710	0	2
10740	0	2
10770	0	2
10800	0	2
10830	0	2
10860	0	2
10890	0	2
10920	0	2
10950	0	2
10980	0	2
11010	0	2
11040	0	2
11070	0	2
11100	0	2
11130	0	1
11160	0	3
11190	0	4
11220	0	2
11250	0	2
11280	0	2
11310	0	2
11340	0	2
11370	0	4
11400	0	2
11430	0	2
11460	0	2
11490	0	2
11520	0	2
11550	0	2
11580	0	4
11610	0	4
11640	0	4
11670	0	2
11700	0	2
11730	0	2
11760	0	2
11790	0	2
11820	0	2
11850	0	2
11880	0	2
11910	0	2
11940	0	2
11970	0	2
12000	0	2
12030	0	2
12060	0	4
12090	0	4
12120	0	4
12150	0	4
12180	0	4
12210	0	1
12240	0	1
12270	0	1
12300	0	1
12330	0	3
12360	0	4
12390	0	4
12420	0	4
12450	0	4
12480	0	4
12510	0	4
12540	0	4
12570	0	4
12600	0	4
12630	0	4
12660	0	4
12690	0	4
12720	0	4
12750	0	4
12780	0	4
12810	0	4
12840	0	4
12870	0	4
12900	0	4
12930	0	4
12960	0	4
12990	0	4
13020	0	4
13050	0	4
13080	0	4
13110	0	4
13140	0	4
13170	0	4
13200	0	4
13230	0	4
13260	0	4
13290	0	4
13320	0	4
13350	0	4
13380	0	4
